,season,round,raceName,circuitId,circuitName,lat,long,locality,country,date,sprint,url
559,1994,12,Italian Grand Prix,monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,1994-09-11,,http://en.wikipedia.org/wiki/1994_Italian_Grand_Prix
560,1994,13,Portuguese Grand Prix,estoril,Autódromo do Estoril,38.7506,-9.39417,Estoril,Portugal,1994-09-25,,http://en.wikipedia.org/wiki/1994_Portuguese_Grand_Prix
561,1994,14,European Grand Prix,jerez,Circuito de Jerez,36.7083,-6.03417,Jerez de la Frontera,Spain,1994-10-16,,http://en.wikipedia.org/wiki/1994_European_Grand_Prix
562,1994,15,Japanese Grand Prix,suzuka,Suzuka Circuit,34.8431,136.541,Suzuka,Japan,1994-11-06,,http://en.wikipedia.org/wiki/1994_Japanese_Grand_Prix
563,1994,16,Australian Grand Prix,adelaide,Adelaide Street Circuit,-34.9272,138.617,Adelaide,Australia,1994-11-13,,http://en.wikipedia.org/wiki/1994_Australian_Grand_Prix
564,1995,1,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,-23.7036,-46.6997,São Paulo,Brazil,1995-03-26,,http://en.wikipedia.org/wiki/1995_Brazilian_Grand_Prix
565,1995,2,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,-34.6943,-58.4593,Buenos Aires,Argentina,1995-04-09,,http://en.wikipedia.org/wiki/1995_Argentine_Grand_Prix
566,1995,3,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Imola,Italy,1995-04-30,,http://en.wikipedia.org/wiki/1995_San_Marino_Grand_Prix
567,1995,4,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain,1995-05-14,,http://en.wikipedia.org/wiki/1995_Spanish_Grand_Prix
568,1995,5,Monaco Grand Prix,monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,1995-05-28,,http://en.wikipedia.org/wiki/1995_Monaco_Grand_Prix
569,1995,6,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada,1995-06-11,,http://en.wikipedia.org/wiki/1995_Canadian_Grand_Prix
570,1995,7,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,46.8642,3.16361,Magny Cours,France,1995-07-02,,http://en.wikipedia.org/wiki/1995_French_Grand_Prix
571,1995,8,British Grand Prix,silverstone,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,1995-07-16,,http://en.wikipedia.org/wiki/1995_British_Grand_Prix
572,1995,9,German Grand Prix,hockenheimring,Hockenheimring,49.3278,8.56583,Hockenheim,Germany,1995-07-30,,http://en.wikipedia.org/wiki/1995_German_Grand_Prix
573,1995,10,Hungarian Grand Prix,hungaroring,Hungaroring,47.5789,19.2486,Budapest,Hungary,1995-08-13,,http://en.wikipedia.org/wiki/1995_Hungarian_Grand_Prix
574,1995,11,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,1995-08-27,,http://en.wikipedia.org/wiki/1995_Belgian_Grand_Prix
575,1995,12,Italian Grand Prix,monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,1995-09-10,,http://en.wikipedia.org/wiki/1995_Italian_Grand_Prix
576,1995,13,Portuguese Grand Prix,estoril,Autódromo do Estoril,38.7506,-9.39417,Estoril,Portugal,1995-09-24,,http://en.wikipedia.org/wiki/1995_Portuguese_Grand_Prix
577,1995,14,European Grand Prix,nurburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,1995-10-01,,http://en.wikipedia.org/wiki/1995_European_Grand_Prix
578,1995,15,Pacific Grand Prix,okayama,Okayama International Circuit,34.915,134.221,Okayama,Japan,1995-10-22,,http://en.wikipedia.org/wiki/1995_Pacific_Grand_Prix
579,1995,16,Japanese Grand Prix,suzuka,Suzuka Circuit,34.8431,136.541,Suzuka,Japan,1995-10-29,,http://en.wikipedia.org/wiki/1995_Japanese_Grand_Prix
580,1995,17,Australian Grand Prix,adelaide,Adelaide Street Circuit,-34.9272,138.617,Adelaide,Australia,1995-11-12,,http://en.wikipedia.org/wiki/1995_Australian_Grand_Prix
581,1996,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,1996-03-10,,http://en.wikipedia.org/wiki/1996_Australian_Grand_Prix
582,1996,2,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,-23.7036,-46.6997,São Paulo,Brazil,1996-03-31,,http://en.wikipedia.org/wiki/1996_Brazilian_Grand_Prix
583,1996,3,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,-34.6943,-58.4593,Buenos Aires,Argentina,1996-04-07,,http://en.wikipedia.org/wiki/1996_Argentine_Grand_Prix
584,1996,4,European Grand Prix,nurburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,1996-04-28,,http://en.wikipedia.org/wiki/1996_European_Grand_Prix
585,1996,5,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Imola,Italy,1996-05-05,,http://en.wikipedia.org/wiki/1996_San_Marino_Grand_Prix
