,season,constructorId,name,nationality
229,1961,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian
230,1961,de_tomaso-osca,De Tomaso-Osca,Italian
231,1961,emeryson,Emeryson,British
232,1961,ferguson,Ferguson,British
233,1961,ferrari,Ferrari,Italian
234,1961,gilby,Gilby,British
235,1961,jbw,JBW,British
236,1961,lotus-climax,Lotus-Climax,British
237,1961,lotus-maserati,Lotus-Maserati,British
238,1961,mbm,MBM,Swiss
239,1961,porsche,Porsche,German
240,1962,brabham,Brabham,British
241,1962,brm,BRM,British
242,1962,cooper,Cooper,British
243,1962,cooper-alfa_romeo,Cooper-Alfa Romeo,British
244,1962,cooper-climax,Cooper-Climax,British
245,1962,tomaso,De Tomaso,Italian
246,1962,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian
247,1962,de_tomaso-osca,De Tomaso-Osca,Italian
248,1962,emeryson,Emeryson,British
249,1962,enb,ENB,Belgian
250,1962,ferrari,Ferrari,Italian
251,1962,gilby,Gilby,British
252,1962,lds,LDS,South African
253,1962,lola,Lola,British
254,1962,lotus-borgward,Lotus-Borgward,British
255,1962,lotus-brm,Lotus-BRM,British
256,1962,lotus-climax,Lotus-Climax,British
257,1962,porsche,Porsche,German
258,1962,team_lotus,Team Lotus,British
259,1963,alfa,Alfa Romeo,Swiss
260,1963,ats,ATS,Italian
261,1963,brabham,Brabham,British
262,1963,brm,BRM,British
263,1963,brp,BRP,British
264,1963,cooper-climax,Cooper-Climax,British
265,1963,cooper-maserati,Cooper-Maserati,British
266,1963,tomaso,De Tomaso,Italian
267,1963,de_tomaso-ferrari,De Tomaso-Ferrari,Italian
268,1963,ferrari,Ferrari,Italian
269,1963,gilby,Gilby,British
270,1963,lds,LDS,South African
271,1963,lola,Lola,British
272,1963,lotus-borgward,Lotus-Borgward,British
273,1963,lotus-brm,Lotus-BRM,British
274,1963,lotus-climax,Lotus-Climax,British
275,1963,lotus-ford,Lotus-Ford,British
276,1963,lotus-maserati,Lotus-Maserati,British
277,1963,porsche,Porsche,German
278,1963,scirocco,Scirocco,British
279,1963,stebro,Stebro,Canadian
280,1963,team_lotus,Team Lotus,British
281,1964,brabham-brm,Brabham-BRM,British
282,1964,brabham-climax,Brabham-Climax,British
283,1964,brabham-ford,Brabham-Ford,British
284,1964,brm,BRM,British
285,1964,brp,BRP,British
286,1964,cooper-climax,Cooper-Climax,British
287,1964,derrington,Derrington,British
288,1964,ferrari,Ferrari,Italian
289,1964,honda,Honda,Japanese
290,1964,lotus-brm,Lotus-BRM,British
291,1964,lotus-climax,Lotus-Climax,British
292,1964,porsche,Porsche,German
293,1964,scirocco,Scirocco,British
294,1965,alfa,Alfa Romeo,Swiss
295,1965,brabham-brm,Brabham-BRM,British
296,1965,brabham-climax,Brabham-Climax,British
297,1965,brabham-ford,Brabham-Ford,British
298,1965,brm,BRM,British
299,1965,cooper-climax,Cooper-Climax,British
300,1965,cooper-ford,Cooper-Ford,British
301,1965,cooper-maserati,Cooper-Maserati,British
302,1965,ferrari,Ferrari,Italian
303,1965,honda,Honda,Japanese
304,1965,lds-alfa_romeo,LDS-Alfa Romeo,South African
305,1965,lds-climax,LDS-Climax,South African
306,1965,lotus-brm,Lotus-BRM,British
307,1965,lotus-climax,Lotus-Climax,British
308,1965,lotus-ford,Lotus-Ford,British
309,1965,re,RE,Rhodesian
310,1966,brabham-brm,Brabham-BRM,British
311,1966,brabham-climax,Brabham-Climax,British
312,1966,brabham-repco,Brabham-Repco,British
313,1966,brm,BRM,British
314,1966,cooper-ferrari,Cooper-Ferrari,British
315,1966,cooper-maserati,Cooper-Maserati,British
316,1966,eagle-climax,Eagle-Climax,American
317,1966,eagle-weslake,Eagle-Weslake,American
318,1966,ferrari,Ferrari,Italian
319,1966,honda,Honda,Japanese
320,1966,lotus-brm,Lotus-BRM,British
321,1966,lotus-climax,Lotus-Climax,British
322,1966,mclaren-ford,McLaren-Ford,British
323,1966,mclaren-seren,McLaren-Serenissima,British
324,1966,shannon,Shannon,British
325,1967,brabham-climax,Brabham-Climax,British
326,1967,brabham-ford,Brabham-Ford,British
327,1967,brabham-repco,Brabham-Repco,British
328,1967,brm,BRM,British
329,1967,cooper-ats,Cooper-ATS,British
330,1967,cooper-climax,Cooper-Climax,British
331,1967,cooper-maserati,Cooper-Maserati,British
332,1967,eagle-climax,Eagle-Climax,American
333,1967,eagle-weslake,Eagle-Weslake,American
334,1967,ferrari,Ferrari,Italian
335,1967,honda,Honda,Japanese
336,1967,lds-climax,LDS-Climax,South African
337,1967,lola,Lola,British
338,1967,lotus-brm,Lotus-BRM,British
339,1967,lotus-climax,Lotus-Climax,British
340,1967,lotus-ford,Lotus-Ford,British
341,1967,matra,Matra,French
342,1967,mclaren-brm,McLaren-BRM,British
343,1967,mclaren-ford,McLaren-Ford,British
344,1967,protos,Protos,British
345,1968,brabham-climax,Brabham-Climax,British
346,1968,brabham-repco,Brabham-Repco,British
347,1968,brm,BRM,British
348,1968,cooper-brm,Cooper-BRM,British
349,1968,cooper-climax,Cooper-Climax,British
350,1968,cooper-maserati,Cooper-Maserati,British
351,1968,eagle-weslake,Eagle-Weslake,American
352,1968,ferrari,Ferrari,Italian
353,1968,honda,Honda,Japanese
354,1968,lds,LDS,South African
355,1968,lola,Lola,British
356,1968,lotus-ford,Lotus-Ford,British
357,1968,matra,Matra,French
358,1968,matra-ford,Matra-Ford,French
359,1968,mclaren,McLaren,British
360,1968,mclaren-brm,McLaren-BRM,British
361,1968,mclaren-ford,McLaren-Ford,British
362,1969,brabham-climax,Brabham-Climax,British
363,1969,brabham-ford,Brabham-Ford,British
364,1969,brabham-repco,Brabham-Repco,British
365,1969,brm,BRM,British
366,1969,brm-ford,BRM-Ford,British
367,1969,cooper-maserati,Cooper-Maserati,British
368,1969,eagle-climax,Eagle-Climax,American
369,1969,ferrari,Ferrari,Italian
370,1969,lotus-ford,Lotus-Ford,British
371,1969,matra-ford,Matra-Ford,French
372,1969,mclaren-ford,McLaren-Ford,British
373,1970,bellasi,Bellasi,Swiss
374,1970,brabham,Brabham,British
375,1970,brm,BRM,British
376,1970,tomaso,De Tomaso,Italian
377,1970,ferrari,Ferrari,Italian
378,1970,march,March,British
379,1970,matra,Matra,French
380,1970,mclaren-alfa_romeo,McLaren-Alfa Romeo,British
381,1970,mclaren-ford,McLaren-Ford,British
382,1970,surtees,Surtees,British
383,1970,team_lotus,Team Lotus,British
384,1970,tyrrell,Tyrrell,British
